STUSPS,NAME,NAME.1,pop1920,pop1930,pop1940
TX,Texas,Van Zandt,"30,784","32,315","31,155"
TX,Texas,Victoria,"18,271","20,048","23,741"
TX,Texas,Walker,"18,556","18,528","19,868"
TX,Texas,Waller,"10,292","10,014","10,280"
TX,Texas,Ward,"2,615","4,599","9,575"
TX,Texas,Washington,"26,624","25,394","25,387"
TX,Texas,Webb,"29,152","42,128","45,916"
TX,Texas,Wharton,"24,288","29,681","36,158"
TX,Texas,Wheeler,"7,397","15,555","12,411"
TX,Texas,Wichita,"72,911",74416,"73,604"
TX,Texas,Wilbarger,"15,112","24,579","20,474"
TX,Texas,Willacy,"-99,999",10499,"13,230"
TX,Texas,Williamson,"42,934","44,146","41,698"
TX,Texas,Wilson,"17,289","17,606","17,066"
TX,Texas,Winkler,81,"6,784","6,141"
TX,Texas,Wise,"23,363",19178,"19,074"
TX,Texas,Wood,"27,707","24,183","24,360"
TX,Texas,Yoakum,504,1263,"5,354"
TX,Texas,Young,"13,379","20,128","19,004"
TX,Texas,Zapata,"2,929","2,867","3,916"
TX,Texas,Zavala,"3,108","10,349","11,603"
